search_term,category
full cream milk 2l,dairy
skim milk 2l,dairy
butter 500g,dairy
tasty cheese block 500g,dairy
greek yoghurt 1kg,dairy
eggs 12 pack,dairy
white bread loaf,bakery
wholemeal bread loaf,bakery
wraps 8 pack,bakery
chicken breast fillets,meat
beef mince 500g,meat
bacon rashers 250g,meat
sausages beef,meat
salmon fillets,meat
bananas,produce
apples pink lady,produce
carrots 1kg,produce
potatoes brushed,produce
tomatoes,produce
broccoli,produce
brown onions,produce
penne pasta 500g,pantry
pasta sauce 500g,pantry
jasmine rice 1kg,pantry
weet-bix 575g,pantry
rolled oats 750g,pantry
peanut butter 500g,pantry
vegemite 380g,pantry
olive oil 500ml,pantry
plain flour 1kg,pantry
white sugar 1kg,pantry
instant coffee 200g,pantry
tea bags 100 pack,pantry
tinned tomatoes 400g,pantry
tuna in springwater 95g,pantry
coca cola 1.25l,drinks
orange juice 2l,drinks
sparkling mineral water 1.25l,drinks
tim tams,snacks
potato chips 175g,snacks
milk chocolate block 180g,snacks
frozen peas 1kg,frozen
vanilla ice cream 2l,frozen
frozen pizza,frozen
toilet paper 12 pack,household
paper towel,household
dishwashing liquid 900ml,household
laundry liquid 2l,household
toothpaste 200g,personal care
shampoo 700ml,personal care
