search_term,category,panel
full cream milk 2l,dairy,everyday
skim milk 2l,dairy,everyday
butter 500g,dairy,everyday
tasty cheese block 500g,dairy,everyday
greek yoghurt 1kg,dairy,everyday
eggs 12 pack,dairy,everyday
white bread loaf,bakery,everyday
wholemeal bread loaf,bakery,everyday
wraps 8 pack,bakery,everyday
chicken breast fillets,meat,everyday
beef mince 500g,meat,everyday
bacon rashers 250g,meat,everyday
sausages beef,meat,everyday
salmon fillets,meat,everyday
bananas,produce,everyday
apples pink lady,produce,everyday
carrots 1kg,produce,everyday
potatoes brushed,produce,everyday
tomatoes,produce,everyday
broccoli,produce,everyday
brown onions,produce,everyday
penne pasta 500g,pantry,everyday
pasta sauce 500g,pantry,everyday
jasmine rice 1kg,pantry,everyday
weet-bix 575g,pantry,everyday
rolled oats 750g,pantry,everyday
peanut butter 500g,pantry,everyday
vegemite 380g,pantry,everyday
olive oil 500ml,pantry,everyday
plain flour 1kg,pantry,everyday
white sugar 1kg,pantry,everyday
instant coffee 200g,pantry,everyday
tea bags 100 pack,pantry,everyday
tinned tomatoes 400g,pantry,everyday
tuna in springwater 95g,pantry,everyday
coca cola 1.25l,drinks,everyday
orange juice 2l,drinks,everyday
sparkling mineral water 1.25l,drinks,everyday
tim tams,snacks,everyday
potato chips 175g,snacks,everyday
milk chocolate block 180g,snacks,everyday
frozen peas 1kg,frozen,everyday
vanilla ice cream 2l,frozen,everyday
frozen pizza,frozen,everyday
toilet paper 12 pack,household,everyday
paper towel,household,everyday
dishwashing liquid 900ml,household,everyday
laundry liquid 2l,household,everyday
toothpaste 200g,personal care,everyday
shampoo 700ml,personal care,everyday
sink plunger,household,tail
drain cleaner,household,tail
mouse trap,household,tail
super glue,household,tail
picture hooks,household,tail
aa batteries,household,tail
led light globe,household,tail
tape measure,household,tail
baby food pouch,baby,tail
nappy rash cream,baby,tail
baby dummy,baby,tail
teething gel,baby,tail
baby bottle teat,baby,tail
bottle brush,baby,tail
baby nail clippers,baby,tail
baby bibs,baby,tail
paracetamol 500mg,health,tail
adhesive bandages,health,tail
digital thermometer,health,tail
denture cleaning tablets,health,tail
reading glasses,health,tail
saline nasal spray,health,tail
lip balm,health,tail
tweezers,health,tail
cat litter,pet,tail
flea treatment dog,pet,tail
worming tablets dog,pet,tail
pet nail clippers,pet,tail
dog chew,pet,tail
wild bird seed,pet,tail
fish food flakes,pet,tail
cat litter scoop,pet,tail
birthday candles,occasion,tail
shoe polish,occasion,tail
sewing kit,occasion,tail
greeting card,occasion,tail
wrapping paper,occasion,tail
tea towel,occasion,tail
clothes pegs,occasion,tail
sink strainer,occasion,tail
